姓名,年份,性别,年龄,出生地,国籍,职业,年份,姓名,犯罪类型,事件描述,法律状态,结果
Bernard Natan (原名 Natan Tannenzaft),1911,男,25岁,罗马尼亚雅西,法国（1921年归化）,电影企业家/导演/演员,1911,Bernard Natan (原名 Natan Tannenzaft),制作色情影片,与同事因制作色情电影被定罪,定罪,短期监禁+1000法郎罚款（一战后因优异战功从记录中删除）
Héra Mirtel (原名 Louise Grouès),1922,女,约40-42岁,未知,法国,作家/女权活动家,1920-1922,Héra Mirtel (原名 Louise Grouès),谋杀,"暗杀警察局长Georges Bassarabo（1920年7月31日），尸体被发现于寄往南锡的箱子中（""血腥箱子案""）",定罪,1922年6月受审；获得从轻处罚；判处20年苦役；1931年3月21日死于雷恩
"Anne Mourraille (化名 Anie Morène, Florence Gérodias)",1941,女,27-28岁,法国里昂,法国,舞台剧演员,1941,"Anne Mourraille (化名 Anie Morène, Florence Gérodias)",谋杀共谋罪,参与暗杀前内政部长Marx Dormoy（1941年7月25-26日在蒙泰利马尔酒店房间放置炸弹）；与极右翼秘密组织La Cagoule成员Ludovic Guichard和Yves Moynier共谋；作为诱饵接近受害者降低其警惕,定罪（缺席审判）,1941年8月26日被捕；1943年1月23日被德军从监狱释放；1946年4月30日尼姆司法法庭缺席判处死刑；1946年7月25日马赛司法法庭再次缺席判处死刑；1948年11月塞纳重罪法庭第三次缺席判处死刑；逃往西班牙（1944-1947）；法国引渡请求被佛朗哥政府拒绝（1947）；后移居委内瑞拉（约1947-1948），化名Ariane Magicier；1984年去世（未执行刑罚）
Michel Polnareff,1972,男,28岁,法国内拉克,法国,歌手/词曲作者,1972,Michel Polnareff,猥亵罪（attentat à la pudeur）,1972年10月在巴黎街头张贴大量宣传海报为巴黎奥林匹亚剧院音乐会造势，海报展示其裸体背面并露出臀部；引发公众强烈抗议被认为公然挑战社会道德底线,定罪,"被判处60,000法郎罚款（约合9,000欧元/2023年价值）；次年他再次以裸体形象出现在新海报上作为回应，但技术上符合法律要求；该事件成为法国流行文化标志性时刻"
Claude François,1974,男,35岁,埃及伊斯梅利亚,法国,歌手/词曲作者/唱片制作人,1974,Claude François,税务欺诈罪,与其姐夫及姐姐（Eschenlhor夫妇）共同经营唱片和音乐出版公司，被指控通过关联公司进行税务欺诈以隐瞒收入和逃避纳税,定罪,"1974年7月8日被巴黎刑事法庭第11庭判处8个月监禁（缓刑）及25,000法郎罚款；其姐夫和姐姐各被判处15,000法郎罚款"
Johnny Hallyday,1977,男,约34岁,法国巴黎,法国,歌手/摇滚歌手,1977,Johnny Hallyday,袭击致重伤（未起诉）,1977年8月在圣特罗佩夜店Caves du Roy和酒吧Le Gorille彻夜狂饮后，醉酒状态下用碎酒瓶袭击一名男子（绰号Coin-Coin），导致受害者严重受伤包括割断颈动脉几乎致命,私下和解避免起诉,受害者最初提起诉讼；若诉讼继续，Hallyday将面临牢狱之灾和职业生涯终结；Hallyday委托警察Martin Griffon进行谈判；受害者同意撤诉条件为500万法郎（约合300万欧元/2018年价值）；Hallyday支付该金额，诉讼撤销，未被起诉
Roman Polanski (罗曼·波兰斯基),1978,男,43岁,法国巴黎,波兰/法国双重国籍,电影导演,1977-1978,Roman Polanski (罗曼·波兰斯基),强奸未成年人罪,1977年3月在洛杉矶杰克·尼科尔森家中为摄影工作对13岁女孩Samantha Gailey下药并实施强奸；被控6项重罪（包括强奸、鸡奸、向未成年人提供毒品）；接受认罪协议改为与未成年人发生非法性关系轻罪,定罪后逃逸,1977年8月被捕；1977年被控6项重罪；认罪协议后承认与未成年人非法性交；1977年底接受42天精神病评估（被关押在奇诺州立监狱）；1978年2月1日在正式宣判前数小时逃往英国，次日逃往法国；法国拒绝美国引渡请求（法国公民不被引渡）；1978年后主要居住在法国；国际刑警组织红色通缉令；2009年在瑞士被捕但未被引渡；至今未返回美国服刑
Guillaume Depardieu,1993,男,约17岁,法国巴黎,法国,演员,1992-1993,Guillaume Depardieu,贩卖海洛因罪、盗窃罪,被指控贩卖海洛因和盗窃；涉及约2克海洛因,定罪,"17岁时首次入狱；至1993年已两次因毒品犯罪入狱服刑；父亲Gérard Depardieu后来称""他们为了2克海洛因杀了我的儿子""并责怪法官""仇恨""心态想把Depardieu家族成员送进监狱；Guillaume称从未从首次监禁中恢复；药物成立导致终身健康问题最终2008年37岁去世"
Gérard Depardieu,1998,男,约49岁,法国沙托鲁,法国,电影演员,1998,Gérard Depardieu,酒驾,摩托车事故，血液酒精含量超过法定标准5倍，腿部和面部受伤,定罪,因酒驾被定罪（详情未公开）；此后还有多起法律纠纷包括：在从巴黎飞往都柏林航班起飞时在过道小便；涉嫌酒驾骑摩托车被拘留
Bertrand Cantat,2003,男,39岁,法国波城（Pau）,法国,歌手/Noir Désir乐队主唱,2003,Bertrand Cantat,故意杀人罪（间接故意）,2003年7月26-27日在立陶宛维尔纽斯一家酒店内殴打女友、41岁法国女演员Marie Trintignant；Cantat对其头部施加19次重击导致不可逆脑损伤；事发后7小时才呼叫急救；Trintignant于8月1日因脑水肿死亡，留下4个年幼儿子,定罪,2003年7月27日被立陶宛警方拘留；2004年3月维尔纽斯地区法院判处8年监禁（立陶宛刑法第129条间接故意杀人罪）；2004年9月转移至法国缪雷监狱服刑；2007年10月假释出狱（服刑4年）；2010年假释期结束恢复自由；受害者家属和女权组织强烈抗议其提前释放
Joey Starr (原名 Didier Morville),2003,男,32岁,法国圣但尼,法国,说唱歌手/Suprême NTM成员,1999-2003,Joey Starr (原名 Didier Morville),多项暴力犯罪：袭击空乘人员、家庭暴力、虐待动物,1999年11月在飞机上辱骂并殴打女性空乘人员；1999年短期出狱后殴打前女友；2003年因在国家电视台直播节目中殴打猴子被定罪虐待动物；刑事记录包括13项违法行为,多次定罪,"1999年因袭击空乘人员被判处2个月监禁；1999年因家暴被判处3个月监禁及2,000欧元罚款；2003年因虐待动物被定罪并遭受媒体和粉丝强烈批评；截至2003年累计刑事记录达13项"
Jean-Luc Godard,2004,男,约66-67岁,法国巴黎,法国/瑞士,电影导演,2004,Jean-Luc Godard,侵犯版权罪,1987年电影《李尔王》（King Lear）中未经授权使用作家Viviane Forrester著作《平静的暴力》（La Violence Du Calme）中的文本并在片中朗诵,民事判决,2004年1月巴黎高等法院判定Godard侵犯版权；需向Forrester支付赔偿（金额未公开）
Jean-Claude Brisseau,2005,男,61-62岁,法国巴黎,法国,电影导演,2002-2005,Jean-Claude Brisseau,性骚扰罪,"被三名女性指控以承诺电影角色为诱饵胁迫她们在镜头前进行性行为；在其家中或酒店房间对多达15名女演员进行所谓""色情试镜""；在女演员面前公然手淫；调查人员认为其动机是""满足个人性冲动""而非艺术目的；1989年曾对当时17岁的Vanessa Paradis提出类似不当建议（其母亲向调查人员证实）；案件源于2002年电影《Choses Secrètes》（秘密事物）试镜过程",定罪,"2005年11月3日受审；2005年12月15日被判处1年监禁（缓刑）及24,500欧元赔偿（15,000欧元罚款+9,500欧元赔偿金给两名原告）；法院驳回性侵犯和欺诈指控但认定性骚扰成立；调查法官Corinne Goetzmann裁定""所有关于艺术或电影动机的辩解都应被拒绝""；2006年Cannes电影节上Brisseau用新电影《Les Anges exterminateurs》展示其对事件的""个人版本""；此案成为法国电影界性骚扰问题的标志性案件"
Dieudonné M'bala M'bala,2007,男,39-41岁,法国巴黎,法国,喜剧演员/政治活动家,2006-2007,Dieudonné M'bala M'bala,反犹主义言论罪（煽动种族仇恨）,"长期发表反犹言论；2006年称某犹太电视主持人为""屠杀儿童的以色列军队的秘密捐助者""被判诽谤罪；2007年在Le Théâtre de la Main d'Or剧院演出后遭攻击，随后称""犹太人""为""奴隶贩子""；将大屠杀纪念称为""纪念色情""；创造""quenelle""手势（被认为是倒置纳粹礼）",多次定罪,"2006年6月14日因诽谤被判处4,500欧元罚款；2007年11月15日上诉法院因称""犹太人""为""奴隶贩子""判处5,000欧元罚款；这是2000-2010期间的两次定罪，其反犹主义犯罪记录延续至2020年（截至2014年已在法国、比利时、瑞士8次被定罪）"
Joey Starr (原名 Didier Morville),2009,男,42岁,法国圣但尼,法国,说唱歌手/演员,2009,Joey Starr (原名 Didier Morville),加重暴力袭击罪、故意损毁财产罪,2009年6月用斧头袭击三人并砸毁他们的汽车；Joey Starr声称当时处于毒品影响下并承认反应过度,定罪,2009年6月被判处6个月监禁；这是其第13次以上的刑事定罪
Roman Polanski,2010,男,76岁,法国巴黎,波兰/法国双重国籍,电影导演,2009-2010,Roman Polanski,强奸未成年人罪（1977年逃逸，2009年被捕）,1977年在洛杉矶对13岁女孩Samantha Gailey实施强奸后逃往欧洲；主要居住在法国和瑞士；2009年9月26日在苏黎世机场参加苏黎世电影节时根据美国引渡请求被瑞士警方逮捕；美国寻求引渡以完成1977-1978年未完成的判决,未引渡,"2009年9月26日在苏黎世被捕；2009年10月美国正式提交引渡请求；2009年12月缴纳450万瑞士法郎保释金后被软禁在格施塔德（Gstaad）滑雪胜地别墅；2010年7月12日瑞士联邦司法警察部（FDJP）拒绝美国引渡请求；理由是""无法完全排除美国引渡请求中存在的错误""且美国未能澄清刑期长度问题；瑞士部长Eveline Widmer-Schlumpf宣布Polanski恢复自由，所有限制措施解除；Polanski继续在欧洲自由活动但不前往美国"
Dominique Strauss-Kahn (DSK),2011,男,62岁,法国纳伊,法国,政治家/IMF总裁/经济学家,2011,Dominique Strauss-Kahn (DSK),涉嫌性侵犯和强奸未遂(未起诉),"2011年5月14日在纽约曼哈顿索菲特酒店对32岁客房服务员Nafissatou Diallo实施性侵犯和强奸未遂;事发后试图逃离美国,在肯尼迪机场登机前往巴黎时被捕",未起诉(证据问题),"2011年5月19日被大陪审团以7项重罪起诉(包括2项一级性犯罪,各面临最高25年监禁);缴纳100万美元保释金后被软禁;因受害者证词可信度问题,2011年8月23日所有刑事指控撤销;民事诉讼于2012年12月达成和解(金额未公开);辞去IMF总裁职务,政治生涯终结"
Dieudonné M'bala M'bala,2015,男,48-49岁,法国巴黎,法国,喜剧演员/政治活动家,2015,Dieudonné M'bala M'bala,煽动恐怖主义罪,"2015年1月查理周刊恐怖袭击后数日在Facebook发表""今晚,至于我,我觉得我是查理库利巴利""(Je me sens Charlie Coulibaly)言论,表达对枪手Amedy Coulibaly的同情;Coulibaly在袭击中杀害4名犹太人质",定罪,2015年3月17日被定罪煽动恐怖主义;判处2个月监禁(缓刑);这是其第9次因仇恨言论和反犹主义被定罪;2015年1月14日一度被警方拘留
Dieudonné M'bala M'bala,2015,男,49岁,法国巴黎,法国,喜剧演员/政治活动家,2015,Dieudonné M'bala M'bala,反犹主义罪、仇恨言论罪(比利时),"2012年在比利时列日演出时发表反犹言论;称犹太人为""奴隶贩子""及其他反犹内容;否认大屠杀",定罪,"2015年11月24日比利时列日法院判处2个月监禁及9,000欧元罚款;法院判决书指出""所有针对Dieudonné的指控均成立——包括煽动仇恨、仇恨言论以及否认大屠杀"";本人未出庭;这是其在比利时的首次定罪"
Rohff (原名 Housni Mkouboi),2017,男,39岁,法国维特里,法国,说唱歌手,2014-2017,Rohff (原名 Housni Mkouboi),暴力抢劫、蓄意伤害,2014年4月率领团队袭击竞争对手Booba在巴黎市中心的Ünkut服装店;殴打19岁店员导致其昏迷;抢劫店内商品;监控视频清晰显示Rohff将店员带至店后部反复击打其头部和身体;店铺被洗劫一空,定罪,2017年10月26日被巴黎法院判处5年监禁;法官考虑暴力严重性、前科记录(包括武器持有罪)及证词矛盾等因素;律师表示将上诉或申请非监禁刑罚;事前已在监狱服刑2个月并佩戴电子监控手环
Isabelle Adjani,2017,女,61-62岁,法国巴黎,法国,电影演员,2016-2017,Isabelle Adjani,税务欺诈罪,"2016-2017年虚假申报居住地为葡萄牙以逃避236,000欧元所得税;未申报向美国账户存入120,000欧元;将200万欧元捐赠伪装成贷款;2013-2017年期间系统性尝试少缴所得税;2015年商业合伙人提起诉讼导致调查;2016年开启初步调查;2020年10月开启第二次调查涉及商业费用欺诈",定罪,"2023年12月14日被巴黎法院判处2年监禁(缓刑)及250,000欧元罚款;法官指出""罪行严重性""使Adjani逃避236,000欧元所得税和120万欧元财产销售税;法官表示""虽然Adjani无疑是才华横溢的演员,但仍需纳税"";检察院曾要求判处18个月监禁"
Booba (原名 Élie Yaffa),2018,男,41岁,法国布洛涅-比扬古,法国,说唱歌手,2018,Booba (原名 Élie Yaffa),暴力事件、扰乱公共秩序,2018年8月1日在巴黎奥利机场与竞争对手说唱歌手Kaaris及其随从爆发大规模群殴;涉及12人;打斗视频在网上广泛传播;导致多个航班延误;两人及其随从在候机厅发生激烈肢体冲突,定罪,"2018年10月8日被判处18个月监禁(缓刑)及50,000欧元罚款;服刑约3周后以30,000欧元保释金获释;其余9名被告各被判处最多12个月监禁"
Kaaris (原名 Okou Gnakouri),2018,男,38岁,科特迪瓦阿比让,法国,说唱歌手,2018,Kaaris (原名 Okou Gnakouri),暴力事件、扰乱公共秩序,2018年8月1日在巴黎奥利机场与竞争对手说唱歌手Booba及其随从爆发大规模群殴;涉及12人;打斗视频在网上广泛传播;导致多个航班延误;两人及其随从在候机厅发生激烈肢体冲突,定罪,"2018年10月8日被判处18个月监禁(缓刑)及50,000欧元罚款;服刑约3周后以30,000欧元保释金获释"
Nick Conrad,2019,男,约34岁,未知,法国,说唱歌手,2018-2019,Nick Conrad,煽动犯罪罪,"2018年9月发布歌曲及MV《PLB》(Pendez Les Blancs/""吊死白人"");歌词和视频中呼吁杀害白人婴儿、吊死白人父母;引发法国社会激烈争议关于""反白人种族主义""的辩论;反种族主义组织LICRA提起诉讼",定罪,"YouTube因违反服务条款暂停视频;2019年3月19日被巴黎司法法院第17庭判处煽动犯罪罪成立;被判处罚款及缓刑(具体金额未详细公开);成为法国司法史上首例因""反白人种族主义""内容被定罪的说唱歌手;此案引发关于言论自由与种族仇恨言论边界的激烈辩论"
Benoît Jacquot,2024,男,77岁,法国,法国,电影导演,2024,Benoît Jacquot,强奸罪、性侵犯罪、暴力罪,被指控在1998-2000年间强奸女演员Isild Le Besco（当时未成年，现41岁）；2013年强奸女演员Julia Roy（现34岁）；2024年52岁女演员Judith Godrèche指控Jacquot在她14岁时开始的长达数年关系中对其强奸（当时Jacquot 39岁）,已起诉待审,"2024年2月Godrèche向Jacquot和Jacques Doillon提起诉讼，检察院开启调查；随后Le Besco就未成年时期关系中的强奸提起诉讼；Roy指控性侵；2024年7月1日Jacquot和Doillon被警方拘留讯问；2024年7月3日预审法官正式起诉Jacquot强奸Roy和Le Besco；Jacquot被讯问2天后释放但置于司法监督下；需接受心理治疗；禁止联系指控受害者和证人；禁止从事导演工作或与未成年人相关任何工作；需缴纳25,000欧元保释金；Jacquot否认所有指控；截至2026年3月仍在等待审判"
Pierre Palmade,2024,男,54-55岁,法国波尔多,法国,喜剧演员/演员,2023-2024,Pierre Palmade,过失伤害罪、毒驾,2023年2月10日在塞纳-马恩省Villiers-en-Bière服用可卡因后驾车；连续三天吸毒未睡；造成严重正面碰撞交通事故；导致一名孕妇失去未出生婴儿、受害者兄弟和其6岁儿子重伤送入ICU；Palmade本人重伤送往Bicêtre医院但次日康复；事后承认吸毒后驾车,定罪,2023年2月15日被警方拘留并承认吸毒；2023年2月17日被正式立案调查过失杀人和在精神障碍药物影响下造成过失伤害；被置于电子监控下接受戒毒治疗；2024年11月20日梅伦刑事法庭判处5年监禁，其中2年实刑（不得减刑）；附加强制治疗义务、强制工作义务、吊销驾照；服刑4个月后，2025年4月16日提前出狱改为电子脚镣居家监禁完成剩余刑期；2026年2月27日刑期结束恢复自由但仍需履行赔偿、工作和治疗义务
Olivier Vidal,2025,男,约63岁,法国,法国,电影导演,2001-2021（犯罪时期）；2025（定罪）,Olivier Vidal,强奸未成年人罪（加重情节）、性侵犯未成年人罪、腐化未成年人罪,2001-2021年期间在蒙彼利埃和巴黎对多名年轻男孩实施性侵犯；被指控对3名年轻男孩实施加重强奸；对5名实施性侵犯；对12名原告腐化未成年人；长达20年的连续犯罪,定罪,2025年4月被判有罪；判处16年监禁（réclusion criminelle）；永久禁止从事任何与未成年人相关的活动；这是法国电影界涉及未成年男性受害者的罕见重大案件
Gérard Depardieu,2025,男,72-76岁,法国沙托鲁,法国（后获俄罗斯国籍）,电影演员,2020-2025,Gérard Depardieu,强奸罪、性侵犯罪,2020年12月法国当局以强奸罪起诉（涉及多起指控）；2021年在电影《Les Volets Verts》（绿色百叶窗）拍摄现场对54岁布景师和34岁助理实施猥亵；多名女性指控其性侵,性侵案定罪+强奸案审理中,"性侵案：2025年3月24日在巴黎刑事法院受审；2025年5月13日巴黎法院判决2021年性侵案有罪；判处18个月监禁（缓刑）及20,000欧元罚款；法院考虑Depardieu年龄、健康状况不佳及前科记录（包括1998年酒驾定罪）；检察官批评其""完全否认和缺乏自我反省""；Depardieu未出庭；已提起上诉；强奸案：2020年被控强奸但Depardieu否认所有不当行为；案件持续审理中；2025年9月再次开庭审理强奸指控；2023年被剥夺魁北克国家勋章"
Christophe Ruggia,2025,男,55-60岁,法国,法国,电影导演,2020-2025,Christophe Ruggia,性侵未成年人罪,"在2000年代初期当35岁女演员Adèle Haenel年龄在12-14岁期间对其实施性侵；两人因电影《Les Diables》（2002）合作认识；Ruggia利用导演地位和权力对未成年Haenel实施长期侵害；调查人员在Ruggia电脑中发现他评论12岁Haenel""洋溢的性感""的文件",定罪,"2019年11月Haenel接受调查媒体Mediapart采访公开指控；随后向警方报案；2020年1月13日Ruggia被警方逮捕并关押讯问；Ruggia一直否认不当行为并称Haenel被""激进化""、自己是法国#MeToo运动的目标；2024年12月18-19日受审（为期2天）；2025年2月3日巴黎法院判决有罪；判处4年刑期（2年电子脚镣居家监禁+2年缓刑）；需向Haenel支付35,000欧元（15,000欧元损害赔偿+20,000欧元心理治疗费）；Ruggia律师表示将上诉"
Koba LaD (原名 Marcel Junior Loutarila),2025,男,24-25岁,法国埃松省,法国,说唱歌手,2024-2025,Koba LaD (原名 Marcel Junior Loutarila),过失杀人罪（加重情节）,2024年9月10日驾驶大马力奥迪超速行驶并在毒品影响下造成交通事故；车上乘客、30岁造型师兼好友William Dogbey死亡；Koba LaD有多次犯罪记录：青少年时期毒品持有和藐视执法；2022年4月参与殴打前经纪人（指控其诈骗）；2022年11月参与夜总会外暴力斗殴；多次交通违规,定罪,"事故后被临时拘留；2025年6月24日判处6年监禁；法院认定在毒品影响下超速驾驶导致致命事故构成加重过失杀人罪；目前服刑中；《世界报》2026年1月报道称Koba LaD与法国有组织犯罪团伙有""危险联系"""
Naps (原名 Nabil Boukhobza),2026,男,约32岁,法国马赛,法国,说唱歌手,2020-2026,Naps (原名 Nabil Boukhobza),强奸罪,被指控强奸一名女性；女性称其在睡觉时被侵犯，醒来时感到疼痛；受害者表示其处于无意识状态,定罪,"2026年2月19日被巴黎法院判处7年监禁；法院裁定""缺乏同意""，接受原告陈述称她在睡觉时被侵犯并在疼痛中醒来；Naps是法国知名说唱歌手，在排行榜上取得成功；判决震惊法国说唱界"
