﻿姓名,性别,年龄,所属公司,经纪人姓名,国家,职业,年份,犯罪类型,事件描述,法律状态,判决
查尔斯·XX,男,43岁,派拉蒙影业,阿尔弗雷德·XX,英国/美国,演员,1942年,酒驾伤人,在洛杉矶因酒后驾驶发生车祸，导致一名路人腿部骨折,已判决,罚款500美元，吊销驾照6个月，缓刑1年
莉莲·XX,女,31岁,米高梅影业,欧文·XX,美国,歌手/演员,1940年,公共场所酗酒滋事,在纽约一家夜总会因酗酒与他人发生肢体冲突，打碎店内设施,已判决,罚款100美元，强制戒酒治疗30天
贝蒂·XX,女,28岁,20世纪福克斯,达里尔·XX·XX,美国,演员/模特,1941年,偷税漏税,被美国国税局指控隐瞒1938-1940年期间的个人收入，涉及金额约12万美元,已判决,补缴税款及罚款共计18万美元，缓刑2年
亨弗莱·XX,男,41岁,华纳兄弟影业,查尔斯·XX,美国,演员,1943年,携带未注册枪支,在前往墨西哥拍戏途中，被边境警卫查获携带一把未注册的左轮手枪,已判决,没收枪支，罚款300美元，警告处分
罗伯特·XX,男,29岁,雷电华电影公司,詹姆斯·XX,美国,演员,1948年,持有大麻,在好莱坞的一次私人聚会中被警方查获持有大麻及吸食工具,已判决,入狱60天，缓刑2年，演艺事业短暂停滞
朱迪·XX,女,31岁,哥伦比亚影业,杰瑞·XX,美国,演员,1950年,偷税漏税,被美国国税局指控隐瞒1947-1949年期间的个人收入，涉及金额约8万美元,已判决,补缴税款及罚款共计12万美元，缓刑1年
小艾迪·XX,男,22岁,RCA唱片公司,乔治·XX·XX,美国,歌手/演员,1950年,逃兵役,以演艺事业为由逃避朝鲜战争期间的兵役征召，伪造医疗证明,已判决,罚款2000美元，缓刑3年，被要求在劳改农场服务6个月
金·XX,女,24岁,哥伦比亚影业,杰瑞·XX,美国,演员,1954年,交通肇事逃逸,在好莱坞因驾驶疏忽发生车祸，导致一名路人受伤，随后逃逸,已判决,罚款2000美元，吊销驾照2年，赔偿伤者1万美元
罗伯特·XX,男,43岁,派拉蒙影业,查尔斯·XX,美国,演员,1955年,持有大麻,在自己的比弗利山庄别墅中被警方查获持有大麻及吸食工具,已判决,罚款1000美元，缓刑2年，强制戒毒治疗
简·XX,女,24岁,20世纪福克斯,达里尔·XX·XX,美国,演员/模特,1956年,公共场所酗酒滋事,在纽约一家夜总会因酗酒与他人发生冲突，扰乱公共秩序,已判决,罚款500美元，强制戒酒治疗60天
蒙哥马利·XX,男,35岁,华纳兄弟影业,奥黛丽·XX,美国,演员,1956年,酒驾伤人,在好莱坞因酒后驾驶发生车祸，导致自己面部受伤，一名路人骨折,已判决,罚款800美元，吊销驾照1年，缓刑2年
格伦·XX,男,40岁,哥伦比亚影业,杰瑞·XX,加拿大/美国,演员,1958年,家暴,被妻子指控多次实施家庭暴力，导致其身体多处受伤,已判决,罚款1500美元，缓刑3年，被禁止接近妻子
威廉·XX,男,40岁,派拉蒙影业,查尔斯·XX,美国,演员,1958年,酒驾逃逸,在洛杉矶因酒后驾驶发生车祸，导致一名路人死亡，随后逃逸,已判决,入狱1年，缓刑3年，吊销驾照5年，赔偿死者家属5万美元
伊丽莎白·XX,女,38岁,米高梅影业,塞XXXX,美国,演员,1960年,偷税漏税,被美国国税局指控隐瞒1957-1959年期间的个人收入，涉及金额约20万美元,已判决,补缴税款及罚款共计30万美元，缓刑1年
米基·XX,男,50岁,米高梅影业,厄尔·XX,美国,演员,1962年,家暴,被妻子指控多次实施家庭暴力，导致其身体多处受伤,已判决,罚款1000美元，缓刑2年，被禁止接近妻子
史蒂夫·XX,男,40岁,派拉蒙影业,希尔达·XX,美国,演员,1968年,酒驾伤人,在洛杉矶因酒后驾驶发生车祸，导致一名路人受伤,已判决,罚款800美元，吊销驾照1年，缓刑2年
马龙·XX,男,46岁,派拉蒙影业,查尔斯·XX,美国,演员,1969年,种族歧视言论,在一次采访中发表种族歧视言论，引发公众抗议,已判决,公开道歉，罚款5000美元，参与种族平等教育活动6个月
珍·XX,女,28岁,20世纪福克斯,弗雷德·XX,美国/法国,演员,1969年,参与恐怖主义活动,被指控支持黑豹党并参与恐怖主义活动,和解处理,与美国政府达成和解，撤回指控
吉姆·XX,男,27岁,Elektra唱片公司,雷·XX,美国,歌手/诗人,1970年,公共场所酗酒滋事,在迈阿密一场演唱会上因酗酒脱衣表演，被指控猥亵罪,已判决,罚款500美元，缓刑6个月，案件上诉期间当事人死亡
马龙·XX,男,56岁,派拉蒙影业,查尔斯·XX,美国,演员,1973年,种族歧视言论,在一次采访中发表种族歧视言论，引发公众抗议,已判决,公开道歉，罚款10000美元，参与种族平等教育活动1年
罗曼·XX,男,43岁,派拉蒙影业,威廉·XX,法国/美国,导演,1977年,性侵未成年少女,在洛杉矶被指控性侵一名13岁少女，案件引发全球关注,已判决,判处有期徒刑42天，随后逃离美国，至今未归
埃尔维斯·XX,男,42岁,RCA唱片公司,汤姆·XX,美国,歌手/演员,1977年,滥用处方药,因长期服用大量处方药导致药物过量死亡，死后被证实长期依赖多种药物,和解处理,未完成法律程序，因当事人死亡终止
弗兰克·XX,男,64岁,华纳兄弟影业,亨弗莱·XX,美国,歌手/演员,1980年,酒驾伤人,在洛杉矶因酒后驾驶发生车祸，导致一名路人腿部骨折,已判决,罚款1000美元，吊销驾照1年，缓刑2年
伊丽莎白·XX,女,48岁,米高梅影业,塞XXXX,美国,演员,1981年,盗窃珠宝,在伦敦一家珠宝店试戴时，将价值30万美元的钻石项链藏入包中，被店员发现,已判决,罚款50万美元，缓刑2年，公开道歉
迈克尔·XX,男,24岁,Epic唱片公司,弗兰克·XX,美国,歌手/舞者,1984年,轻伤他人,在拍摄百事可乐广告时因舞台烟火爆炸受伤，随后因广告片酬纠纷殴打广告导演,和解处理,私下赔偿广告导演150万美元，达成庭外和解
麦当娜·XX,女,26岁,Sire唱片公司,弗雷迪·XX,美国,歌手/演员,1985年,公共场所裸露,在纽约时代广场拍摄MV时全裸出镜，被指控公然猥亵,已判决,罚款1000美元，缓刑6个月，MV被禁播
西尔维斯特·XX,男,39岁,派拉蒙影业,欧文·XX·XX,美国,演员/导演,1985年,家暴,被妻子指控多次实施家庭暴力，导致其身体多处受伤,和解处理,支付妻子500万美元离婚赔偿金，达成庭外和解
蒂娜·XX,女,48岁,Capitol唱片公司,罗杰·XX,美国,歌手/演员,1988年,偷税漏税,被美国国税局指控隐瞒1985-1987年期间的个人收入，涉及金额约50万美元,已判决,补缴税款及罚款共计75万美元，缓刑1年
简·XX,女,42岁,哥伦比亚影业,杰瑞·XX,美国,演员/社会活动家,1988年,非法集会,领导反核抗议活动，在五角大楼前非法集会并阻碍交通,已判决,罚款200美元，缓刑1年，参与社区服务300小时
雪X,女,42岁,华纳兄弟影业,大卫·XX,美国,歌手/演员,1988年,公共场所酗酒滋事,在拉斯维加斯一家赌场因酗酒与他人发生肢体冲突，打碎赌场设施,已判决,罚款3000美元，强制戒酒治疗60天，赔偿赌场损失10万美元
伊丽莎白·XX,女,58岁,米高梅影业,塞XXXX,美国,演员,1990年,盗窃珠宝,在伦敦一家珠宝店试戴时，将价值50万美元的钻石项链藏入包中，被店员发现,已判决,罚款100万美元，缓刑2年，公开道歉
吹XXX,男,21岁,上城唱片公司,安德烈·XX,美国,说唱歌手/制作人,1991年,性侵,被指控下药性侵一名大学生，并拍摄视频,和解处理,支付受害者50万美元庭外和解
简·XX,女,52岁,哥伦比亚影业,杰瑞·XX,美国,演员/社会活动家,1992年,非法集会,领导反核抗议活动，在五角大楼前非法集会并阻碍交通,已判决,罚款200美元，缓刑1年，参与社区服务300小时
迈克尔·XX,男,33岁,Epic唱片公司,弗兰克·XX,美国,歌手/舞者,1993年,性侵未成年人,被一名13岁男孩指控性侵，引发全球关注,和解处理,支付受害者2200万美元庭外和解
雪X,女,52岁,华纳兄弟影业,大卫·XX,美国,歌手/演员,1998年,偷税漏税,被美国国税局指控隐瞒1994-1996年期间的个人收入，涉及金额约100万美元,已判决,补缴税款及罚款共计150万美元，缓刑1年
西尔维斯特·XX,男,52岁,派拉蒙影业,欧文·XX·XX,美国,演员/导演,1998年,家暴,被妻子指控多次实施家庭暴力，导致其身体多处受伤,和解处理,支付妻子1000万美元离婚赔偿金，达成庭外和解
吹XXX,男,30岁,坏小子唱片公司,安德烈·XX,美国,说唱歌手/制作人,1999年,枪支犯罪,旗下歌手Shyne在曼哈顿夜总会开枪伤人，吹XXX涉案,已判决,服刑1年，罚款100万美元
梅尔·XX,男,51岁,华纳兄弟影业,布鲁斯·XX,美国,演员/导演,2006年,种族歧视言论,因酒后驾驶被捕后发表反犹太言论，引发公众抗议,和解处理,公开道歉，捐款100万美元给犹太组织
吹XXX,男,37岁,坏小子唱片公司,安德烈·XX,美国,说唱歌手/制作人,2006年,家庭暴力,在洛杉矶洲际酒店走廊前女友卡西（Cassie Ventura），监控视频记录全过程,和解处理,支付卡西5000万美元庭外和解
琳赛·XX,女,21岁,环球影业,贾斯汀·XX,美国,演员/歌手,2007年,酒后驾驶,在洛杉矶因酒后驾驶发生车祸，导致车辆严重损坏,已判决,判处监禁84分钟，吊销驾照3年，缓刑3年
布兰妮·XX,女,25岁,Jive唱片公司,拉里·XX,美国,歌手/舞者,2007年,公共场所酗酒滋事,在洛杉矶一家夜总会因酗酒与他人发生肢体冲突，打碎设施,和解处理,支付夜总会10万美元赔偿，达成庭外和解
查理·XX,男,42岁,哥伦比亚影业,马克·XX,美国,演员,2008年,家庭暴力,被妻子指控多次实施家庭暴力，导致其身体多处受伤,已判决,罚款1000美元，缓刑3年，被禁止接近妻子
罗曼·XX,男,63岁,派拉蒙影业,威廉·XX,法国/美国,导演,2009年,性侵未成年人（旧案）,1977年性侵案判决后逃离美国，2009年在瑞士被捕,和解处理,与瑞士政府达成和解，被驱逐出境
查理·XX,男,54岁,哥伦比亚影业,马克·XX,美国,演员,2015年,家庭暴力,被前妻指控家暴，警方介入调查,和解处理,支付前妻100万美元抚养费及和解金
吹XXX,男,47岁,坏小子唱片公司,安德烈·XX,美国,说唱歌手/制作人,2016年,家庭暴力,在洛杉矶洲际酒店走廊殴打前女友卡西（Cassie Ventura），监控视频记录全过程,和解处理,支付卡西5000万美元庭外和解
哈维·XX,男,67岁,韦恩斯坦影业,未知,美国,电影制片人,2017年,性侵犯/职场骚扰,被近百名女性指控性侵犯，案件引发#MeToo运动,已判决,被判处23年监禁，后续追加16年刑期，累计39年
比尔·XX,男,82岁,环球影业,未知,美国,喜剧演员,2018年,性侵,被指控在2004年下药性侵一名女性，案件引发社会关注,已判决,被判处10年至20年监禁，2021年因程序错误被推翻判决
R·XX,男,53岁,RCA唱片公司,未知,美国,R&B歌手,2019年,性贩卖/人口控制,"被指控建立""性邪教""，绑架、性侵多名未成年女性",已判决,被判处30年监禁，另加20年刑期，累计50年
林赛·XX,女,34岁,环球影业,贾斯汀·XX,美国,演员/歌手,2020年,盗窃,在纽约一家酒店盗窃价值1000美元的项链,已判决,缓刑1年，赔偿酒店损失并完成社区服务
布莱恩·XX,男,55岁,未知,未知,美国,导演,2021年,性侵未成年人,被4名男性指控未成年时遭其性侵，案件引发好莱坞#MeToo运动后续,和解处理,支付受害者共计1500万美元庭外和解
吹XXX,男,51岁,坏小子唱片公司,安德烈·XX,美国,说唱歌手/制作人,2023年,家庭暴力/性虐待,被前女友卡西（Cassie Ventura）指控10年控制与虐待，包括殴打、强迫性行为并录像，CNN曝光2016年酒店走廊殴打监控视频,和解处理,支付卡西5000万美元庭外和解
